# variant=ABLATE env=deep-sea-treasure-concave-v0 seed=0
episode=31000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=31200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=31400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=31600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=31800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=32000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=32200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=32400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=32600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=32800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=33000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=33200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=33400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=33600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=33800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=34000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=34200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=34400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=34600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=34800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=35000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=35200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=35400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=35600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=35800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=36000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=36200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=36400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=36600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=36800 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=37000 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=37200 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=37400 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
episode=37600 block_size=200 mean_H_t=0.000000 std_H_t=0.000000
